4 72 -11.6545 3.2    -24.24989816
4 73 -11.6545 3.3    -24.24990321
4 74 -11.6545 3.4    -24.24990722
4 75 -11.6545 3.5    -24.24991041
4 76 -11.6545 3.6    -24.24991295
4 77 -11.6545 3.7    -24.24991497
4 78 -11.6545 3.8    -24.24991658
4 79 -11.6545 3.9    -24.24991787
4 80 -11.6545 4     -24.2499189
5 0 -11.5682 -4    -24.18079696
5 1 -11.5682 -3.9    -24.18079873
5 2 -11.5682 -3.8    -24.18080096
5 3 -11.5682 -3.7    -24.18080376
5 4 -11.5682 -3.6     -24.1808073
5 5 -11.5682 -3.5    -24.18081175
5 6 -11.5682 -3.4    -24.18081737
5 7 -11.5682 -3.3    -24.18082445
5 8 -11.5682 -3.2    -24.18083338
5 9 -11.5682 -3.1    -24.18084465
5 10 -11.5682 -3    -24.18085889
5 11 -11.5682 -2.9    -24.18087686
5 12 -11.5682 -2.8    -24.18089959
5 13 -11.5682 -2.7    -24.18092834
5 14 -11.5682 -2.6    -24.18096474
5 15 -11.5682 -2.5    -24.18101086
5 16 -11.5682 -2.4    -24.18106934
5 17 -11.5682 -2.3    -24.18114355
5 18 -11.5682 -2.2    -24.18123778
5 19 -11.5682 -2.1    -24.18135749
5 20 -11.5682 -2     -24.1815096
5 21 -11.5682 -1.9    -24.18170289
5 22 -11.5682 -1.8    -24.18194848
5 23 -11.5682 -1.7    -24.18226037
5 24 -11.5682 -1.6    -24.18265616
5 25 -11.5682 -1.5    -24.18315783
5 26 -11.5682 -1.4    -24.18379253
5 27 -11.5682 -1.3    -24.18459337
5 28 -11.5682 -1.2    -24.18559974
5 29 -11.5682 -1.1    -24.18685709
5 30 -11.5682 -1    -24.18841533
5 31 -11.5682 -0.9    -24.19032546
5 32 -11.5682 -0.8     -24.1926338
5 33 -11.5682 -0.7    -24.19537369
5 34 -11.5682 -0.6    -24.19855555
5 35 -11.5682 -0.5    -24.20215728
5 36 -11.5682 -0.4    -24.20611816
5 37 -11.5682 -0.3    -24.21033923
5 38 -11.5682 -0.2      -24.214692
5 39 -11.5682 -0.1    -24.21903414
5 40 -11.5682 0    -24.22322826
5 41 -11.5682 0.1     -24.2271586
5 42 -11.5682 0.2    -24.23074171
5 43 -11.5682 0.3    -24.23392972
5 44 -11.5682 0.4    -24.23670725
5 45 -11.5682 0.5    -24.23908464
5 46 -11.5682 0.6     -24.2410898
5 47 -11.5682 0.7    -24.24276073
5 48 -11.5682 0.8    -24.24413962
5 49 -11.5682 0.9     -24.2452686
5 50 -11.5682 1     -24.2461872
5 51 -11.5682 1.1    -24.24693088
5 52 -11.5682 1.2    -24.24753059
5 53 -11.5682 1.3    -24.24801266
5 54 -11.5682 1.4    -24.24839922
5 55 -11.5682 1.5    -24.24870858
5 56 -11.5682 1.6    -24.24895577
5 57 -11.5682 1.7    -24.24915305
5 58 -11.5682 1.8    -24.24931034
5 59 -11.5682 1.9    -24.24943564
5 60 -11.5682 2    -24.24953541
5 61 -11.5682 2.1    -24.24961481
5 62 -11.5682 2.2    -24.24967797
5 63 -11.5682 2.3    -24.24972819
5 64 -11.5682 2.4    -24.24976813
5 65 -11.5682 2.5    -24.24979988
5 66 -11.5682 2.6    -24.24982511
5 67 -11.5682 2.7    -24.24984516
5 68 -11.5682 2.8    -24.24986109
5 69 -11.5682 2.9    -24.24987376
5 70 -11.5682 3    -24.24988382
5 71 -11.5682 3.1    -24.24989181
5 72 -11.5682 3.2    -24.24989817
5 73 -11.5682 3.3    -24.24990322
5 74 -11.5682 3.4    -24.24990723
5 75 -11.5682 3.5    -24.24991042
5 76 -11.5682 3.6    -24.24991296
5 77 -11.5682 3.7    -24.24991499
5 78 -11.5682 3.8     -24.2499166
5 79 -11.5682 3.9    -24.24991789
5 80 -11.5682 4    -24.24991893
6 0 -11.4818 -4    -24.18079696
6 1 -11.4818 -3.9    -24.18079873
6 2 -11.4818 -3.8    -24.18080096
6 3 -11.4818 -3.7    -24.18080376
6 4 -11.4818 -3.6     -24.1808073
6 5 -11.4818 -3.5    -24.18081175
6 6 -11.4818 -3.4    -24.18081737
6 7 -11.4818 -3.3    -24.18082445
6 8 -11.4818 -3.2    -24.18083338
6 9 -11.4818 -3.1    -24.18084465
6 10 -11.4818 -3    -24.18085889
6 11 -11.4818 -2.9    -24.18087686
6 12 -11.4818 -2.8    -24.18089959
6 13 -11.4818 -2.7    -24.18092834
